movie_link,movie_name,movie_author
https://movie.douban.com/subject/1304447/,记忆碎片,"
导演:克里斯托弗·诺兰ChristopherNolan   主演:盖·皮尔斯GuyPearce/..."
https://movie.douban.com/subject/1978709/,黑天鹅,"
导演:达伦·阿罗诺夫斯基DarrenAronofsky   主演:娜塔莉·波特曼Natalie..."
https://movie.douban.com/subject/1292337/,无人知晓,"
导演:是枝裕和HirokazuKoreeda   主演:柳乐优弥YûyaYagira/北浦爱..."
https://movie.douban.com/subject/25917973/,心迷宫,"
导演:忻钰坤YukunXin   主演:霍卫民WeiminHuo/王笑天XiaotianWang..."
https://movie.douban.com/subject/1306861/,我是山姆,"
导演:杰茜·尼尔森JessieNelson   主演:SeanPenn/DakotaFanning/Mi..."
https://movie.douban.com/subject/6534248/,无敌破坏王,"
导演:瑞奇·莫尔RichMoore   主演:约翰·C·赖利JohnC.Reilly/萨拉..."
https://movie.douban.com/subject/1302827/,人工智能,"
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:海利·乔·奥斯蒙Haley..."
https://movie.douban.com/subject/1937946/,穿越时空的少女,"
导演:细田守MamoruHosoda   主演:仲里依纱RiisaNaka/石田卓也Takuya..."
https://movie.douban.com/subject/25773932/,爆裂鼓手,"
导演:达米恩·查泽雷DamienChazelle   主演:迈尔斯·特勒MilesTeller/..."
https://movie.douban.com/subject/1293964/,魂断蓝桥,"
导演:茂文·勒鲁瓦MervynLeRoy   主演:费雯·丽VivienLeigh/罗伯特·..."
https://movie.douban.com/subject/26683290/,你的名字。,"
导演:新海诚MakotoShinkai   主演:神木隆之介RyûnosukeKamiki/上..."
https://movie.douban.com/subject/1292528/,猜火车,"
导演:丹尼·博伊尔DannyBoyle   主演:伊万·麦克格雷格EwanMcGregor/..."
https://movie.douban.com/subject/1395091/,未麻的部屋,"
导演:今敏SatoshiKon   主演:岩男润子JunkoIwao/松本梨香RicaMatsu..."
https://movie.douban.com/subject/10463953/,模仿游戏,"
导演:莫滕·泰杜姆MortenTyldum   主演:本尼迪克特·康伯巴奇BenedictC..."
https://movie.douban.com/subject/26628357/,一个叫欧维的男人决定去死,"
导演:汉内斯·赫尔姆HannesHolm   主演:罗夫·拉斯加德RolfLassgård..."
https://movie.douban.com/subject/1291879/,罗生门,"
导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/千秋实..."
https://movie.douban.com/subject/25724855/,房间,"
导演:伦尼·阿伯拉罕森LennyAbrahamson   主演:布丽·拉尔森BrieLarson..."
https://movie.douban.com/subject/26614893/,完美陌生人,"
导演:保罗·格诺维瑟PaoloGenovese   主演:马可·贾利尼MarcoGiallini..."
https://movie.douban.com/subject/1959195/,忠犬八公物语,"
导演:SeijirôKôyama   主演:山本圭KeiYamamoto/井川比佐志Hisa..."
https://movie.douban.com/subject/26611804/,三块广告牌,"
导演:马丁·麦克唐纳MartinMcDonagh   主演:弗兰西斯·麦克多蒙德France..."
https://movie.douban.com/subject/1305690/,阿飞正传,"
导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/张曼玉MaggieC..."
https://movie.douban.com/subject/3011051/,恐怖游轮,"
导演:克里斯托弗·史密斯ChristopherSmith   主演:梅利莎·乔治Melissa..."
https://movie.douban.com/subject/1307811/,魔女宅急便,"
导演:宫崎骏HayaoMiyazaki   主演:高山南MinamiTakayama/佐久间玲Re..."
https://movie.douban.com/subject/1760622/,香水,"
导演:汤姆·提克威TomTykwer   主演:本·卫肖BenWhishaw/艾伦·瑞克..."
https://movie.douban.com/subject/2297265/,浪潮,"
导演:丹尼斯·甘塞尔DennisGansel   主演:尤尔根·沃格尔JürgenVogel..."
https://movie.douban.com/subject/2213597/,朗读者,"
导演:史蒂芬·戴德利StephenDaldry   主演:凯特·温丝莱特KateWinslet..."
https://movie.douban.com/subject/1307315/,哪吒闹海,"
导演:严定宪DingxianYan/王树忱ShuchenWang   主演:梁正晖Zhenghui..."
https://movie.douban.com/subject/1308857/,可可西里,"
导演:陆川ChuanLu   主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL..."
https://movie.douban.com/subject/1302467/,黑客帝国3：矩阵革命,"
导演:AndyWachowski/LarryWachowski   主演:基努·里维斯KeanuReeves..."
https://movie.douban.com/subject/25895901/,海街日记,"
导演:是枝裕和HirokazuKoreeda   主演:绫濑遥HarukaAyase/长泽雅美M..."
https://movie.douban.com/subject/1304102/,谍影重重,"
导演:道格·里曼DougLiman   主演:马特·达蒙MattDamon/弗兰卡·波坦..."
https://movie.douban.com/subject/1419936/,战争之王,"
导演:安德鲁·尼科尔AndrewNiccol   主演:尼古拉斯·凯奇NicolasCage/..."
https://movie.douban.com/subject/1292434/,一一,"
导演:杨德昌EdwardYang   主演:吴念真/李凯莉KellyLee/金燕玲Elai..."
https://movie.douban.com/subject/1302425/,喜剧之王,"
导演:周星驰StephenChow/李力持Lik-ChiLee   主演:周星驰StephenCh..."
https://movie.douban.com/subject/21318488/,消失的爱人,"
导演:大卫·芬奇DavidFincher   主演:本·阿弗莱克BenAffleck/罗莎蒙..."
https://movie.douban.com/subject/1316510/,射雕英雄传之东成西就,"
导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai/林青霞Bri..."
https://movie.douban.com/subject/1305164/,甜蜜蜜,"
导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/..."
https://movie.douban.com/subject/4917726/,阳光姐妹淘,"
导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy..."
https://movie.douban.com/subject/1296339/,爱在黎明破晓前,"
导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke..."
https://movie.douban.com/subject/25814705/,小森林夏秋篇,"
导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir..."
https://movie.douban.com/subject/1297052/,侧耳倾听,"
导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K..."
https://movie.douban.com/subject/1865703/,红辣椒,"
导演:今敏SatoshiKon   主演:林原惠美MegumiHayashibara/江守彻Toru..."
https://movie.douban.com/subject/1297447/,倩女幽魂,"
导演:程小东Siu-TungChing   主演:张国荣LeslieCheung/王祖贤JoeyW..."
https://movie.douban.com/subject/21360417/,恐怖直播,"
导演:金秉祐Byeong-wooKim   主演:河正宇Jung-wooHa/李璟荣Kyeong-y..."
https://movie.douban.com/subject/1292208/,上帝之城,"
导演:KátiaLund/FernandoMeirelles   主演:AlexandreRodrigues/Lea..."
https://movie.douban.com/subject/1291585/,风之谷,"
导演:宫崎骏HayaoMiyazaki   主演:岛本须美SumiShimamoto/松田洋治Y..."
https://movie.douban.com/subject/5322596/,超脱,"
导演:托尼·凯耶TonyKaye   主演:艾德里安·布洛迪AdrienBrody/马西..."
https://movie.douban.com/subject/26799731/,请以你的名字呼唤我,"
导演:卢卡·瓜达尼诺LucaGuadagnino   主演:艾米·汉莫ArmieHammer/..."
https://movie.douban.com/subject/1291990/,爱在日落黄昏时,"
导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke..."
https://movie.douban.com/subject/2353023/,驯龙高手,"
导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders   主演:..."
https://movie.douban.com/subject/1293359/,菊次郎的夏天,"
导演:北野武TakeshiKitano   主演:北野武TakeshiKitano/关口雄介Yus..."
https://movie.douban.com/subject/1292274/,幸福终点站,"
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks..."
https://movie.douban.com/subject/3011235/,哈利·波特与死亡圣器(下),"
导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe..."
https://movie.douban.com/subject/1300299/,杀人回忆,"
导演:奉俊昊Joon-hoBong   主演:宋康昊Kang-hoSong/金相庆Sang-kyun..."
https://movie.douban.com/subject/25814707/,小森林冬春篇,"
导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir..."
https://movie.douban.com/subject/3287562/,神偷奶爸,"
导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud   主演:..."
https://movie.douban.com/subject/1292215/,天使爱美丽,"
导演:让-皮埃尔·热内Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTau..."
https://movie.douban.com/subject/1293544/,沉默的羔羊,"
导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安..."
https://movie.douban.com/subject/1294639/,勇敢的心,"
导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛..."
https://movie.douban.com/subject/1292370/,剪刀手爱德华,"
导演:蒂姆·波顿TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·..."
https://movie.douban.com/subject/1292343/,蝴蝶效应,"
导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主..."
https://movie.douban.com/subject/1292679/,春光乍泄,"
导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/梁朝伟TonyLeu..."
https://movie.douban.com/subject/1305487/,猫鼠游戏,"
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L..."
https://movie.douban.com/subject/1292656/,心灵捕手,"
导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·..."
https://movie.douban.com/subject/11525673/,布达佩斯大饭店,"
导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/..."
https://movie.douban.com/subject/2334904/,禁闭岛,"
导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/..."
https://movie.douban.com/subject/2149806/,入殓师,"
导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/..."
https://movie.douban.com/subject/3008247/,穿条纹睡衣的男孩,"
导演:马克·赫尔曼MarkHerman   主演:阿萨·巴特菲尔德AsaButterfield..."
https://movie.douban.com/subject/1297359/,幽灵公主,"
导演:宫崎骏HayaoMiyazaki   主演:松田洋治YôjiMatsuda/石田百合..."
